"0, 0"
"5, 0"
"5, 2"
"4, 2"
"4, 3"
"7, 3"
"7, 0"
"10, 0"
"10, -3"
"6, -3"
"6, -5"
"2, -5"
"2, -9"
"-2, -9"
"-2, -6"
"-4, -6"
"-4, -7"
"-3, -7"
"-3, -9"
"-7, -9"
"-7, -5"
"-11, -5"
"-11, -2"
"-13, -2"
"-13, -1"
"-17, -1"
"-17, 0"
"-14, 0"
"-14, 5"
"-18, 5"
"-18, 0"
"-21, 0"
"-21, -3"
"-20, -3"
"-20, -2"
"-16, -2"
"-16, -4"
"-18, -4"
"-18, -5"
"-14, -5"
"-14, -196"
"-19, -196"
"-19, -198"
"-65, -198"
"-65, -195"
"-66, -195"
"-66, -121"
"-68, -121"
"-68, -119"
"119, -119"
"119, -122"
"115, -122"
"115, -121"
"111, -121"
"111, -125"
"113, -125"
"113, -129"
"118, -129"
"118, -133"
"115, -133"
"115, -135"
"116, -135"
"116, -138"
"113, -138"
"113, -135"
"114, -135"
"114, -136"
"118, -136"
"118, -140"
"117, -140"
"117, -135"
"119, -135"
"119, -136"
"116, -136"
"116, -140"
"118, -140"
"118, -138"
"119, -138"
"119, -135"
"120, -135"
"120, -138"
"125, -138"
"125, -135"
"130, -135"
"130, -138"
"126, -138"
"126, -139"
"123, -139"
"123, -137"
"124, -137"
"124, -139"
"128, -139"
"128, -138"
"127, -138"
"127, -135"
"124, -135"
"124, -131"
"122, -131"
"122, -135"
"127, -135"
"127, -130"
"123, -130"
"123, -128"
"128, -128"
"128, -124"
"132, -124"
"132, -122"
"135, -122"
"135, -118"
"132, -118"
"132, -123"
"127, -123"
"127, -127"
"129, -127"
"129, -130"
"124, -130"
"124, -125"
"123, -125"
"123, -129"
"120, -129"
"120, -130"
"118, -130"
"118, -135"
"119, -135"
"119, -139"
"120, -139"
"120, -144"
"119, -144"
"119, -148"
"123, -148"
"123, -144"
"127, -144"
"127, -147"
"132, -147"
"132, -148"
"135, -148"
"135, -152"
"132, -152"
"132, -154"
"133, -154"
"133, -155"
"131, -155"
"131, -153"
"133, -153"
"133, -152"
"132, -152"
"132, -154"
"137, -154"
"137, -151"
"136, -151"
